year,migration_type,primary_FIPS,aux_FIPS,aux_county,aux_state,aux_GeoRollup,people_inflow,agi_inflow,agi_capita_inflow,people_outflow,agi_outflow,agi_capita_outflow,people_net,agi_net
2020,total,13219,96000,,,,3489,156445000,44839.495557466325,2504,101596000,40573.482428115014,985,54849000
2021,county,13219,13013,Barrow,GA,Atlanta,173,6083000,35161.84971098266,164,5921000,36103.65853658537,9,162000
2021,county,13219,13059,Clarke,GA,Athens,990,41590000,42010.10101010101,624,29573000,47392.6282051282,366,12017000
2021,county,13219,13089,DeKalb,GA,Atlanta,73,4156000,56931.50684931507,38,2849000,74973.68421052632,35,1307000
2021,county,13219,13121,Fulton,GA,Atlanta,115,9059000,78773.91304347826,39,1819000,46641.02564102564,76,7240000
2021,county,13219,13135,Gwinnett,GA,Atlanta,250,12711000,50844.0,72,2319000,32208.333333333332,178,10392000
2021,county,13219,13157,Jackson,GA,Jackson County,107,2671000,24962.616822429907,116,3129000,26974.137931034482,-9,-458000
2021,county,13219,13195,Madison,GA,Athens,83,1958000,23590.36144578313,87,2563000,29459.77011494253,-4,-605000
2021,county,13219,13211,Morgan,GA,Atlanta,51,1053000,20647.058823529413,64,4367000,68234.375,-13,-3314000
2021,county,13219,13221,Oglethorpe,GA,Athens,51,1511000,29627.450980392157,70,1437000,20528.571428571428,-19,74000
2021,county,13219,13297,Walton,GA,Atlanta,123,4618000,37544.71544715447,95,4921000,51800.0,28,-303000
2021,total,13219,96000,,,,3318,171315000,51632.007233273056,2365,117356000,49621.98731501057,953,53959000
2022,county,13219,13013,Barrow,GA,Atlanta,151,5838000,38662.25165562914,169,7461000,44147.92899408284,-18,-1623000
2022,county,13219,13059,Clarke,GA,Athens,918,48253000,52563.18082788671,582,25873000,44455.3264604811,336,22380000
2022,county,13219,13067,Cobb,GA,Atlanta,43,2353000,54720.93023255814,33,1538000,46606.06060606061,10,815000
2022,county,13219,13089,DeKalb,GA,Atlanta,97,6132000,63216.49484536082,28,2023000,72250.0,69,4109000
2022,county,13219,13121,Fulton,GA,Atlanta,98,11394000,116265.30612244898,66,3933000,59590.90909090909,32,7461000
2022,county,13219,13133,Greene,GA,Greene County,43,2481000,57697.67441860465,60,6180000,103000.0,-17,-3699000
2022,county,13219,13135,Gwinnett,GA,Atlanta,222,17638000,79450.45045045044,52,1915000,36826.92307692308,170,15723000
2022,county,13219,13157,Jackson,GA,Jackson County,67,2163000,32283.582089552237,131,4172000,31847.32824427481,-64,-2009000
2022,county,13219,13195,Madison,GA,Athens,42,1122000,26714.285714285714,100,2219000,22190.0,-58,-1097000
2022,county,13219,13211,Morgan,GA,Atlanta,63,3125000,49603.1746031746,69,2578000,37362.31884057971,-6,547000
2022,county,13219,13221,Oglethorpe,GA,Athens,43,1739000,40441.86046511628,54,1540000,28518.51851851852,-11,199000
2022,county,13219,13297,Walton,GA,Atlanta,168,11017000,65577.38095238095,93,5280000,56774.1935483871,75,5737000
2022,total,13219,96000,,,,3125,215031000,68809.92,2413,140592000,58264.40116038127,712,74439000
